id,claim,label,split,verdict,max_entail,max_contradict,max_gap,evidence_count
5132,Margaret Sanger wanted a black Christian leader to be like a Judas goat and lead the blacks to genocide. Remember that? And they picked Martin Luther King as their spokesman.,pants-fire,train,contradict,3.746045331354253e-05,0.9987131357192993,0.9986756752659858,1
2080,"Says Hillary Clintons top 10 donors are mainly banks, corporations and media, while Bernie Sanders top 10 donors are labor unions.",mostly-true,train,contradict,7.796499994583428e-05,0.9985598921775818,0.998481927177636,1
4898,Connecticuts take on slot machines is 25 cents on the dollar. And the states take on table games: zero.,true,train,contradict,0.0002671093097887933,0.998390793800354,0.9981236844905652,1
7296,"Obama spokesman Bill Burton says Clinton gave Bush ""a blank check on a critical foreign policy issue.""",half-true,train,contradict,0.0005748536786995828,0.9982321858406067,0.9976573321619071,2
2366,"Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks.",true,train,contradict,0.0001125123308156617,0.9977533221244812,0.9976408097936655,1
9194,Says Hillary Clinton tripled the number of people with AIDS whose lives are being saved .. and it did not cost you any more money.,mostly-true,train,contradict,0.00026708521181717515,0.9974347949028015,0.9971677096909843,1
1954,Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.,false,train,contradict,0.000171749503351748,0.996296226978302,0.9961244774749503,1
2986,The CEO of Goldman Sachs let his employees know that hed be just fine with either Bush or Clinton.,barely-true,train,contradict,0.0003689400036819279,0.9955649971961975,0.9951960571925156,2
57,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",barely-true,train,contradict,0.0003012065717484802,0.9869296550750732,0.9866284485033248,1
4351,Warren Buffett called credit default swaps financial weapons of mass destruction. And Greene was the first individual to use them.,true,train,contradict,0.00013121245137881488,0.9857640862464905,0.9856328737951117,1
4162,SaysPresident Obama hijacked the farm bill (and) turned it into a food stamp bill.,pants-fire,train,contradict,0.0007360425079241395,0.9851804971694946,0.9844444546615705,1
63,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",mostly-true,train,contradict,0.007701199036091566,0.9821529984474182,0.9744517994113266,1
2323,"In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.",true,train,contradict,0.0002856569772120565,0.9797160625457764,0.9794304055685643,1
1575,Mark Kirk: Lied about going to war. Opposed middle class tax cuts. And said unemployments not that big an issue.,barely-true,train,contradict,0.001017246162518859,0.9714869260787964,0.9704696799162775,1
1214,10 cents on thedollar from the Clinton Foundation goes to charitable causes.,false,train,contradict,0.0027242256328463554,0.9436722993850708,0.9409480737522244,1
6074,"Says Hillary Clinton presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.",pants-fire,train,contradict,0.0015602258499711752,0.927319347858429,0.9257591220084578,1
1343,Says Hillary Clinton had an undercover nurse with her at the Sept. 11 memorial ceremony in New York.,pants-fire,train,contradict,0.0002650487585924566,0.9247852563858032,0.9245202076272108,1
3698,Says Donald Trump has written 10 checks to Hillary Clinton and four of those checks were not to her Senate campaign. It was to her presidential campaign.,half-true,train,contradict,0.027709655463695526,0.9219878911972046,0.8942782357335091,1
