id,split,claim,context
95,dev,Bermuda Triangle is also known by another name.,218184
96,dev,Ashton Kutcher was directed by George Clooney.,120574
97,dev,Topman has clothing outlets in six Irish cities and towns.,168755
98,dev,Wales' population changed.,84694
99,dev,Tool has won three Oscars.,21057
100,dev,Youtube is not a website.,123742
101,dev,"Sidse Babett Knudsen graduated on November 22nd, 1968.",25294
102,dev,Stripes had Conrad Dunn featured in it.,228481
103,dev,Psych is a required course in California.,88763
104,dev,Raees (film) stars a Buddhist.,240278
105,dev,2015 was the year when the principal photography of The Disaster Aritst (film) started.,266026
106,dev,In 1971 Asylum Records the American record label was founded by David Geffen and his partner Elliot Roberts.,217668
107,dev,Trollhunters was produced by an animation company.,77131
108,dev,The Armenian Genocide was the killing of Armenians who were mostly Ottoman natives.,54306
109,dev,There is a British actor name Marcus Bentley.,236629
110,dev,The first inauguration of Bill Clinton made him the 50th President of the United States.,26608
111,dev,The Beach's director was Danny Boyle.,199493
112,dev,John Dolmayan was born in northern Lebanon.,172664
113,dev,The dress did not inspire hashtags.,147203
114,dev,"Bruce Shand was born on September 22nd, 1917.",153174
115,dev,Advertising is an sound-based manner of marketing communication.,150237
116,dev,Alexandra Daddario is Canadian.,127823
117,dev,The Others (2001 film) lost Best Film.,142300
118,dev,Ralph Fults was born January 23 1911 and died in prison.,266592
119,dev,Drake Bell put out an extended play in 2011.,194316
120,dev,The 14th Dalai Lama lives in Japan exclusively.,142216
121,dev,Telemundo is owned by ESPN.,164085
122,dev,Miracle at St. Anna only tells the story of four cats.,251909
123,dev,Caroline Kennedy is American.,79457
124,dev,Home for the Holidays stars the fourth stepchild of Charlie Chaplin,215823
125,dev,Anne Rice was born in Fort Lauderdale.,191686
126,dev,Stephen Hillenburg was fascinated with politics as a student.,67440
127,dev,A monk only avoids practicing religious asceticism.,258093
128,dev,The Mod Squad is a series that fits into the genre of crime drama.,64286
129,dev,The Dark Tower is a fantasy film.,152988
130,dev,Rupert Murdoch has control of The Galactic Empire.,158054
131,dev,Arizona is a state in the United States.,40628
132,dev,Smriti Mandhana is an Indian cricketer born in July.,197250; 197283
133,dev,Emma Watson was born.,60722; 60722
134,dev,Angela Bassett gave out a master of fine arts degree.,277062
135,dev,Congressional Space Medal of Honor is the highest award given only to astronauts by NASA.,207706
136,dev,The Saw franchise grossed under $873 million.,47551
137,dev,The Faroe Islands are no longer part of the Kingdom of Mercia.,147218
138,dev,Down With Love is a 2003 comedy film.,240857
139,dev,The chairwoman of Lockheed Martin and the President are currently the same person.,239378
140,dev,Tremont Street Subway is an expensive project.,28463
141,dev,Paul Nicholls played Sam Casey in Law & Order: UK.,110774
142,dev,Colombiana is a French film.,24130
143,dev,Rick Yune was on a series that cancelled on December 12.,194096; 194098
144,dev,Advertising is a closed sourced message.,155776
145,dev,Kentucky is known for televised racing.,268059
146,dev,"Boyhood is about Mason Evans, Jr's childhood.",234493
147,dev,Hush (2016 film) was produced by children.,25236
148,dev,The Penibaetic System is also called Sistema Penibético in Spanish.,182707
149,dev,Topman sells men's accessories.,254090
150,dev,Bermuda Triangle is in the western part of the Atlantic Ocean near Florida.,218157
151,dev,Roar (song) is on the 2013 Katy Perry album Prism.,270766
152,dev,Saturn Corporation is also known as Toyota LLC.,211984
153,dev,John Dolmayan is Armenian-American and Indian.,83804
154,dev,The Armenian Genocide took place in the Ottoman Empire and the Republic of Turkey.,24846
155,dev,The Quran is believed to have been created by Allah's disciples.,15484
156,dev,The human brain contains a hypothalamus.,151958
157,dev,T2 Trainspotting is a 2004 British comedy drama film.,144493; 144493
158,dev,AMGTV does not have drama television programming.,282192; 282204; 284199; 330187; 330189; 330190; 330192; 330193
159,dev,Randy Savage has a motto.,94507
160,dev,"Don Bradman was called the ""greatest living Australian"" by Margaret Thatcher.",193403
161,dev,Margaret Thatcher was not the first woman to lead a major political party in the United Kingdom.,132966
162,dev,Randy Savage is a bug-collector.,69806
163,dev,Diwali originated in India.,231455
164,dev,Alice Cooper has been working in his field for over 50 years.,190764
165,dev,EA Black Box was a picture game developer.,177247
166,dev,The ruins of the ancient Roman town of Herculaneum lie near Naples.,12900; 18727; 20342; 299151; 301220
167,dev,Edmund H. North was a songwriter.,123677
168,dev,No Country for Old Men angered Tommy Lee Jones.,154955
169,dev,"Harold Macmillan died on December 29, 1886.",147072
170,dev,"Palo Alto, California is 50 miles from the San Francisco Bay Area.",243714
171,dev,Finding Dory was written by anyone but an American.,213716
172,dev,Morse Code is communication.,149477; 149481; 149481
173,dev,Alexandra Daddario is a ballerina.,87646
174,dev,Part of the Hindu Kush is in Brazil.,168001; 168001; 168001
175,dev,Roland Emmerich campaigns for the straight community.,225940
176,dev,Stephen Colbert hosts guests.,180971
177,dev,Most of Ripon College's student body die on campus.,41043
178,dev,Rupert Murdoch has control of News Corp and has been criticized.,66322
179,dev,Wildfang is a US-based women's apparel company featuring pants that are tomboyish in style.,163440
180,dev,"Bessie Smith was married on April 15, 1894.",182110
181,dev,Speech recognition incorporates knowledge and research into multiple fields.,90750
182,dev,Anne Sullivan was born in April of 1866.,199910; 199911
183,dev,"Aleister Crowley was born on June 12, 1875.",148724
184,dev,Poldark airs on HBO.,150789
185,dev,The filming of Dilwale Dulhania Le Jayenge finished in August 1995.,62836
186,dev,Tim Roth's full name is not Timothy Simon Roth.,93690
187,dev,"In 1986, Tatum O'Neal got married.",163739; 163742
188,dev,Sean Penn was in a movie.,101224; 101224; 101224; 101224; 101224
189,dev,Water is part of the History of Earth.,21895
190,dev,Nuuk is the largest military center of Greenland.,74699
191,dev,How to Train Your Dragon 2 used real dragons.,100442
192,dev,Down with Love is only a book.,240841; 240846
193,dev,Paris (Paris Hilton album) incorporates elements of German.,70779
194,dev,Stripes only featured women.,228484; 228488; 228488; 228488; 228502; 228502; 228502; 228503; 228503; 228503
195,dev,Janelle Monáe is a singer and a songwriter in Hollywood.,111456
196,dev,"Jewell is best known for her song ""Harvest for the World.""",135177
197,dev,International students come to the University of Mississippi from 90 cities.,146525; 146526
198,dev,The Mighty Ducks was produced by Avnet–Kerner Productions in 2017.,129314
199,dev,Johanna Braddy is known to have no appearances on television.,191998; 191998
200,dev,Martin Van Buren was Secretary of State.,39795; 39795; 39795
201,dev,"Camden, New Jersey is the home of a school that was founded as a law school in 1926.",69591
202,dev,Michigan is not a U.S. state.,24705; 24705; 24705
203,dev,T2 Trainspotting is a 2017 British comedy drama book.,88176
204,dev,Polynesian languages include french.,239618
205,dev,Penguin Books sold movies through Woolworths and other high street stores.,70457
206,dev,Darwin is the location where production of Australia (2008 film) took place.,141494
207,dev,Omar Khadr was a basketball player.,181060
208,dev,Excuse My French is the debut album of an artist.,246592
209,dev,Derek Hough starred in an American film.,72335
210,dev,Bad Romance is a single.,35296
211,dev,Aerobic exercise temporarily increases the heart rate.,40228
212,dev,DreamWorks Animation produced Trollhunters.,139388; 141763; 143760; 311012; 311014
213,dev,Chris Eubank Jr. is a professional wrestler.,136787
214,dev,Sophia Bush acted in movies.,179384
215,dev,Rupert Murdoch is the Chairman of FOX News.,86407
216,dev,Roland Emmerich is a collector of stamps.,225914
217,dev,Gal Gadot was ranked behind Esti Ginzburg for highest earning actress/models in Israel.,158355
218,dev,Creedence Clearwater Revival was a string quartet.,147498; 147498
219,dev,The Adventures of Pluto Nash is an Australian-American science fiction action comedy game.,163863
220,dev,Calcaneal spurs are only detected by audio techniques.,257328
221,dev,Wales has a small region rich in coal deposits.,75530
222,dev,The CONCACAF Champions League is rarely organized by CONCACAF.,27930
223,dev,Mary of Teck's son never abdicated the throne.,45968
224,dev,Poseidon grossed less than $1 million at the worldwide box office.,242086
225,dev,The NAACP Image Award for Outstanding Supporting Actor in a Drama Series was last given in 1995.,62395
226,dev,Human trafficking leads to paid labor.,116198
227,dev,The Cincinnati Kid is a boy.,225592; 225592; 225592; 225592; 317993; 318003; 318003; 318003; 318003; 319660
228,dev,"Rio's sequel was released on April 11, 2012.",241694
229,dev,Francis I of France was a king.,146101
230,dev,Peking University is in Thailand.,43626
231,dev,Lemmy had a distinct gravelly voice that made him known.,112209
232,dev,Global warming threatens food security.,144032
233,dev,Baz Luhrmann's film Australia stars Nicole Kidman.,186097
234,dev,Michael Vick is only Armenian.,196591
235,dev,Sora (Kingdom Hearts) is made out of computer graphics.,91806
236,dev,Folklore includes proverbs.,27495
237,dev,First Motion Picture Unit produced zero training films.,243125
238,dev,James Jones won a contest.,157214
239,dev,Humphrey Bogart was ranked greatest male star of Classic American cinema.,110380
240,dev,Rick Yune was on a tv series with Marco Polo.,194120
241,dev,Trollhunters is computer-animated.,69615
242,dev,Shane McMahon officially retired on the first day of 2010.,71688; 71688; 71688
243,dev,Tom Baker has narrated American video games.,190486
244,dev,Angelsberg is in Canada.,176273
245,dev,Finding Dory was directed by someone.,213736
246,dev,The Hanford Site is unable to host the Pacific Northwest National Laboratory.,259724
247,dev,The White House Press Secretary is a celebrity.,159658
248,dev,Kentucky is known for bluegrass music.,268064
249,dev,Kelly Preston starred in the film Broken Bridges.,99565
250,dev,Kesha has a full name.,296583; 298202; 343462
251,dev,"Despacito had multiple versions as of May 5, 2016.",96033
252,dev,Starrcade was never broadcast via pay-per-view television.,150562
253,dev,Veeru Devgan only works in Hollywood.,95944
254,dev,Star Trek: Discovery is the first series since Star Trek: The Next Generation.,111977
255,dev,Terry Crews was a linebacker for the Patriots.,91600
256,dev,Excuse My French is the debut album of a hip hop recording artist.,246593; 246601
257,dev,A Floppy disk is composed of a thin and flexible magnetic transmission medium.,50298
258,dev,Guatemala endured a civil war that lasted 36 years.,183437
259,dev,The horse has changed in size as it evolved.,58468
260,dev,Forceps are a hinged instrument.,211586
261,dev,The Closer's final season was its seventh season.,250350
262,dev,Lost was on FOX.,69661
263,dev,Mud was made before Matthew McConaughey was born.,52443; 52443
264,dev,Robert Palmer (writer) has written for the New York Times.,19745
265,dev,Men in Black II is a 1992 film.,80636; 80636
266,dev,Mount Rushmore was built by Gutzon Borglum and his nephew Lincoln Borglum.,68877
267,dev,Underdog features the voice talents of Angelina Jolie.,23825
268,dev,The 100 also follows the teens parents on the cruise ship.,163426
269,dev,The Concert for Bangladesh is recognized as a highly successful and influential project.,138518
270,dev,Shinji Mikami directed Halo.,122198
271,dev,Avenged Sevenfold was released in October.,239247; 239248
272,dev,Men in Black II stars Tommy Lee Jones in the lead role.,166724
273,dev,Mani Ratnam is widely credited with altering the profile of Indian cuisine.,218841
274,dev,"The Lincoln-Douglas debates happened in Freeport, Illinois.",109208
275,dev,Easy A is directed by Bert V. Royal.,247268
276,dev,Anne Rice was born in 1997.,191665; 191676; 191677
277,dev,"Camden, New Jersey is a large human settlement.",137531; 137531; 137531; 140147; 310819
278,dev,Microbiologist research promotes information found in other fields.,122139
279,dev,Bret Easton Ellis wrote the screenplay for The Canyons.,58142
280,dev,"The Lincoln-Douglas debates happened in Quincy, Illinois.",60893; 60893
281,dev,Homer Hickman is a writer of historical fiction books.,257101
282,dev,Idris Elba plays a role on House.,141171
283,dev,Cheese in the Trap (TV series) only stars animals.,110809
284,dev,Underdog stars Peter Dinklage as the lead role.,25084
285,dev,"On February 2, 2013, Chris Kyle died.",68605; 68605
286,dev,Brad Wilk died before helping to co-found Rage.,241389
287,dev,Janelle Monáe is part of a record label.,180009; 180016
288,dev,AMGTV has Animal Rescue.,160325
289,dev,Winter's Tale is by an American.,131161
290,dev,About 55 percent of the University of Mississippi's income comes from California.,128971
291,dev,Flaked was renewed for a seven episode season.,64320
292,dev,Aaron Burr was a department store that went out of business in the eighties.,89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860; 89860
293,dev,Soyuz was part of a space program.,43173; 43173
294,dev,Steve Ditko studied at the Cartoonist and Illustrators School.,207651
295,dev,Rage Against the Machine stopped being together.,80298; 80298
296,dev,Tata Motors is a constituent of the last BSE SENSEX index.,213163
297,dev,Vietnam is a place.,163728; 163728; 163728; 163728; 163728; 163728; 163728; 163728; 163728; 163728; 163728
298,dev,Dreamer (2005 film) is a Canadian 2005 film.,255579
299,dev,Bhagat Singh was not a folk hero.,181833
300,dev,Aparshakti Khurana directed Dangal.,51880
301,dev,James VI and I was a major single parliament for Scotland advocate.,164151
302,dev,Danielle Cormack is an actress.,268399; 268399; 268399; 268399; 268399
303,dev,Rob Sheridan is a Canadian graphic designer.,175690
304,dev,David Spade starred in Joe Dirt 2: Beautiful Loser.,40422
305,dev,Angela Bassett is alive.,44620; 44620
306,dev,"Artpop only sold about 100,000 copies.",203378; 203378
307,dev,Stadium Arcadium featured John Frusciante.,247509; 247509
308,dev,Policies implemented by Margaret Thatcher came to be known as Thatcherism.,37343
309,dev,Duff McKagan writes sometimes.,50945; 50945
310,dev,Tom Baker has reviewed commercials.,298811
311,dev,Stadium Arcadium won a TV.,221832
312,dev,"Valencia has about 800,000 inhabitants, making it the third largest city in Spain.",260670
313,dev,Buffy Summers has been written by Kristy Swanson.,190743
314,dev,The series finale of Make It or Break It ended in 2013.,168888
315,dev,Speech recognition is ignored in all fields.,123990
316,dev,Richard Alf was one of the founders of San Diego Comic-Con.,22840
317,dev,Fist of Legend is a remake of a film directed by John Woo.,142277
318,dev,"Camden, New Jersey is the home of a sports team.",122294
319,dev,Rachel Green was played by Courtney Cox.,63305; 63305; 63305; 63305; 63305; 63305
320,dev,The Pelican Brief is based solely on a television series.,258719
321,dev,The Wallace mentions people that never existed.,158177
322,dev,Fabian Nicieza created settings for comic books.,203191
323,dev,"Stanley Williams was an inmate in Los Angeles, California.",148202
324,dev,"St. Anger was released on June 3, 2003.",242995
325,dev,Halsey's debut LP is titled Room 93.,50248
326,dev,This is an ethnic group called Lithuanians.,92388
327,dev,Daag is a painting.,175594
328,dev,Joe Walsh was inducted into the New Museum.,80336
329,dev,Michael Vick is an American.,196586
330,dev,The Food Network is a channel that ran Giada at Home.,271164
331,dev,Ashley Cole plays for the Portland Timbers.,86397
332,dev,Phillip Glass has listened to eleven concertos.,190008
333,dev,Diwali is an American festival.,231467
334,dev,Viola Davis appeared in the television series Law & Order: Special Victims Unit in 2005.,253624
335,dev,Rhythm Nation was incapable of being performed on Britain's Got Talent.,151854
336,dev,Wentworth Miller made his screenwriting debut with the 2013 top-grossing film.,208601
337,dev,Carlos Santana disbanded Santana in 1965.,15237
338,dev,The Gifted is Swedish.,57982; 57983
339,dev,Match Point explores the lives of two lovers.,45143
340,dev,Annette Badland was unable to appear in Wizards vs Aliens.,88042; 88060
341,dev,"Bessie Smith was born breach on April 15, 1894.",45737
342,dev,Southpaw is a movie in the sports drama genre.,210307; 210322
343,dev,Michaela Watkins is British.,268482
344,dev,Chaka Khan has released at least five studio albums.,63139
345,dev,"In 1930, Albert S. Ruddy is born.",229597
346,dev,Janelle Monáe's full name is Janelle Monáe Robinson.,21215
347,dev,"Syracuse, New York, claimed a population of 145,170 residents according to the 2010 United States Census.",199243; 199244
348,dev,Taylor Lautner appeared on Modern Family.,53591
349,dev,Liverpool is in Europe.,104943; 108021; 109868; 109868; 308069; 309445; 309450; 309450
350,dev,Brad Wilk was a member of Greta in 1980.,241383
351,dev,"The Bassoon King's working title was My Life in Art, Faith, and Idiocy.",26625
352,dev,Moonlight's filming began in 1815.,140058
353,dev,Ron Weasley is part of the Harry Potter series as the eponymous wizard's best friend.,108648
354,dev,Stephen Hillenburg was fascinated with the ocean as a child.,67435
355,dev,Stephen Colbert is dissociated from The Late Show with Stephen Colbert.,54756
356,dev,Taran Killam is a stage actor.,24100
357,dev,Matthew Gray Gubler is a fashion photographer.,34223
358,dev,"Sidse Babett Knudsen was born on November 22nd, 1968.",21034; 22733; 23864; 301526; 302550; 304469
359,dev,Albert S. Ruddy is born in the north.,229598
360,dev,CHiPs was created in May 2017.,216107
361,dev,Forceps are used for pulling objects.,211602
362,dev,"Taylor Lautner had 3 different voice roles in ""What's New, Scooby-Doo?"".",114578
363,dev,The horse was domesticated on a broad scale by 3103 BC.,18907
364,dev,Poldark airs on the BBC.,67243
365,dev,The New Orleans Pelicans play in the Eastern Conference of the NBA.,270827
366,dev,The Quran is a WWE wrestler..,34465; 34465; 34465; 34465
367,dev,Kim Jong-il works for the Eternal Chairman of the National Defence Commission.,229550
368,dev,Moonlight premiered at the Telluride Film Festival in 2016.,165186
369,dev,Matthias Corvinus was completely against the arts and sciences and tries actively to prevent them from happening.,221646
370,dev,Blue Jasmine has Sally Hawkins acting in it.,66021
371,dev,The Concert for Bangladesh generated lack of awareness and insignificant funds.,170219
372,dev,Annette Badland murdered Doomsday Dora in The Sparticle Mystery.,130355
373,dev,Scotty Moore was a vegetarian.,55197
374,dev,Bethany Hamilton's biopic was produced by Sean McNamara.,135965
375,dev,Stripes had a person appear in it.,228483; 228489; 228489; 228489; 228578; 228578; 228578
376,dev,2016 Tour de France was a 21-stage musical.,139783
377,dev,Bad Romance was one of the worst-selling singles of all time.,36402
378,dev,Marjorie Gross has yet to write for a television show.,161292
379,dev,Manmohan Singh was elected again.,194828
380,dev,Ed Wood is a politician.,291272
381,dev,Residents of Basildon work in Central London.,144555
382,dev,Dan O'Bannon worked primarily in two genres.,183971; 183972; 183975
383,dev,Richard Dawkins has been awarded prestigious sports awards.,269619
384,dev,Sidse Babett Knudsen is Swedish.,129958
385,dev,Sora (Kingdom Hearts) and Donald Duck went on an adventure.,155813
386,dev,Martin Van Buren refused to be Secretary of State.,181787; 181787
387,dev,Tim McGraw acted in The Blind Side.,124774
388,dev,Gal Gadot was ranked as the fifth highest earning actress/models in Israel.,111799
389,dev,Ashton Kutcher was co-stars with Cameron Diaz.,87269
390,dev,Eva Green made her film debut in 2006.,127015; 127015
391,dev,The album One of the Boys contains I Kissed a Girl.,34164
392,dev,Keith Urban was released by Bruno Mars.,223872
393,dev,Kenneth Lonergan is a songwriter.,214284
394,dev,My Old Kentucky Home is outside of Kentucky.,268053
395,dev,Veeram had a director.,188656
396,dev,In 2004 Paramore formed.,173300
397,dev,French Indochina was officially known as the Indochinese Federation five years after 1947.,185750
398,dev,The Good Wife is on network television with 22 episode seasons.,98887
399,dev,Dreamer (2005 film) was the highest grossing film John Gatins is part of.,255591
400,dev,Tinker Tailor Soldier Spy is a music video.,238546; 238546; 238546; 238546; 238546
401,dev,Tilda Swinton is only Scottish.,227777
402,dev,Liverpool is independent of West Lancanshire.,162278
403,dev,Basildon is a place.,154307
404,dev,Goosebumps (film) is penned by Darren Lemke.,239922
405,dev,In the End was positively reviewed.,42847
406,dev,Shooter features the character Edward Cullen.,275010
407,dev,Duane Chapman is an American citizen.,152645
408,dev,Rob Sheridan is from Alaska.,150171
409,dev,Peking University was founded in the eighteenth century.,115491
410,dev,The CONCACAF Champions League is organized for football clubs in the evil realm.,48912
411,dev,Basildon is far away from England.,283952; 285045; 329750; 329763; 329763; 329763; 329763; 329763; 329763; 329763
412,dev,Riverdale is an adaptation.,31425; 31425; 31425
413,dev,A third series of Poldark has been commissioned.,181056
414,dev,Basildon is well connected to Americans.,32758
415,dev,Qui-Gon Jinn is a fictional person in the Star Wars franchise.,135232
416,dev,Kenneth Lonergan is the director of Pacific Rim.,214288
417,dev,Middle-earth was created by British writer J. R. R. Tolkien.,194711
418,dev,Garden State was at a program of the National Endowment for the Humanities.,102622
419,dev,Saxony is the sixth most populous Spanish state.,72313; 72313
420,dev,José Ferrer was a director.,292885; 292888; 292888; 295480; 341024; 341024
421,dev,Harvard University closed down permanently.,252356
422,dev,House is an American medical drama.,71653
423,dev,Ingushetia was established in 1993.,169002
424,dev,Ernest Medina participated in a Korean War mass killing.,214300
425,dev,Dub music grew out of R&B.,205351
426,dev,French Indochina was a grouping of only one French colonial territory.,185746
427,dev,Richard Dawkins writes books about atheism and politics.,269609
428,dev,Mud has a Canadian in its cast.,101314
429,dev,Epistemology attempts to understand the justification for social inequalities.,212204
430,dev,Renato Balestra was born outside of Trieste.,137417
431,dev,Don Bradman's status was recognized 50 years after his retirement.,193382
432,dev,Diwali spiritually signifies the victory of light over darkness.,231442
433,dev,Anne Rice was born in Japan.,191670
434,dev,West Ham United F.C. is not a football club.,153283
435,dev,"During the Battle of France, German forces occupied Arby's.",132089
436,dev,The maximum elevation in the Hindu Kush is at Tirichmir.,176578
437,dev,"James Jones's nickname is not ""Champ"".",110630
438,dev,Middle-earth is a real place.,194713; 194713
439,dev,Sandra Bullock was an executive producer of George Lopez.,290375; 291736; 293832; 338329; 338337; 338361
440,dev,Gin became popular in Great Britain when it was imported.,30658
441,dev,The Millers's cancellation was announced four minutes into its second season.,225778
442,dev,Star Trek: Discovery is a series.,161821; 161821; 161821
443,dev,Crystal Kay was incapable of covering the song Rhythm Nation.,76023
444,dev,Carlos Santana is a US president.,62799; 62799
445,dev,Yandex operates in Kazakhstan.,223854
446,dev,Stripes was the first significant film role for Leonard Nimoy.,229592
447,dev,Juventus F.C. has worn a red-and-tan away uniform since 1903.,132499
448,dev,Pharrell Williams is not a musician.,67148
449,dev,Yara Shahidi is a dog.,141230; 141230
450,dev,Miranda Otto began her film acting career at age 18.,39164
451,dev,English people are disconnected from the Jutes and Frisians.,19885
452,dev,Noah Cyrus is a younger sister of Miley Cyrus.,52615; 52620
453,dev,"In inherited cases, amyotrophic lateral sclerosis starts earlier.",96727
454,dev,Carlos Santana is both American and Mexican.,82756
455,dev,Albert S. Ruddy is born in China.,228779
456,dev,Private Lives is a 1940 comedy in three acts by Noel Coward.,255479
457,dev,A monk practices atheistic asceticism.,258112
458,dev,Trevor Griffiths was born in an inner city area of Boston.,154768
459,dev,"Jackpot had 1150 screens release in India on December 13, 2013.",223451; 227116; 229865; 318088; 318089; 318096
460,dev,WGBH-TV is a non-commercial educational PBS member television station.,210870
461,dev,Despicable Me 2 was produced exclusively for Yahoo.,238991
462,dev,Brubaker is a solely Australian film.,264395
463,dev,Jeong Hyeong-don was born in the 1970's.,230048; 230049
464,dev,Taran Killam is a father.,93625
465,dev,Miracle at St. Anna mainly takes place in Italy.,251504
466,dev,"The principal photography of The Disaster Artist (film) started on December 8th, 2015.",266025
467,dev,Black Canary is a character in comic books published by DC Comics.,137077
468,dev,Girl is an album.,228747; 228747; 228752; 228752; 228752; 228752; 228752; 228752; 228757; 228757; 228757; 228757; 228757
469,dev,Jackpot was only released on one screen in India.,149501
